model,rank,roi_index,roi_label,mean_importance
R-MATCHED,1,7,Frontal_Mid_L,32.471016314930765
R-MATCHED,2,4,Frontal_Sup_R,30.1377638837362
R-MATCHED,3,3,Frontal_Sup_L,29.618153510841363
R-MATCHED,4,8,Frontal_Mid_R,29.011090118186587
R-MATCHED,5,60,Parietal_Sup_R,24.17454332950012
R-MATCHED,6,66,Angular_R,20.982192949842062
R-MATCHED,7,11,Frontal_Inf_Oper_L,19.25453954478929
R-MATCHED,8,59,Parietal_Sup_L,18.151749039737048
R-MATCHED,9,65,Angular_L,17.257574891096905
R-MATCHED,10,62,Parietal_Inf_R,17.194409322367008
R-MATCHED,11,12,Frontal_Inf_Oper_R,16.1481726452281
R-MATCHED,12,63,SupraMarginal_L,13.965265563181942
R-MATCHED,13,81,Temporal_Sup_L,13.69337730864033
R-MATCHED,14,61,Parietal_Inf_L,13.532604550043857
R-MATCHED,15,64,SupraMarginal_R,12.67240351165367
R-MATCHED,16,113,Vermis_7,9.093511485288545
R-MATCHED,17,92,Cerebelum_Crus1_R,8.071276831002603
R-MATCHED,18,101,Cerebelum_7b_L,7.94705384280313
R-MATCHED,19,104,Cerebelum_8_R,7.786471199459174
R-MATCHED,20,85,Temporal_Mid_L,7.621371585733379
R-MATCHED,21,99,Cerebelum_6_L,7.312914479555763
R-MATCHED,22,112,Vermis_6,7.003365018778505
R-MATCHED,23,100,Cerebelum_6_R,6.7326833546266505
R-MATCHED,24,107,Cerebelum_10_L,6.680095049565574
R-MATCHED,25,114,Vermis_8,5.805997478415477
R-MATCHED,26,108,Cerebelum_10_R,5.723975408561236
R-MATCHED,27,93,Cerebelum_Crus2_L,5.171882688616155
R-MATCHED,28,82,Temporal_Sup_R,5.151679064273185
R-MATCHED,29,14,Frontal_Inf_Tri_R,5.1126841951769
R-MATCHED,30,84,Temporal_Pole_Sup_R,5.078927888050844
R-MATCHED,31,31,Cingulum_Ant_L,5.062104721883191
R-MATCHED,32,102,Cerebelum_7b_R,5.059132983610471
R-MATCHED,33,103,Cerebelum_8_L,5.037166712458832
R-MATCHED,34,25,Frontal_Med_Orb_L,5.013541979216227
R-MATCHED,35,32,Cingulum_Ant_R,4.897541603911415
R-MATCHED,36,94,Cerebelum_Crus2_R,4.507599693535169
R-MATCHED,37,91,Cerebelum_Crus1_L,4.501192258438542
R-MATCHED,38,106,Cerebelum_9_R,4.344974675950035
R-MATCHED,39,77,Thalamus_L,4.113477461635103
R-MATCHED,40,80,Heschl_R,4.087303978804545
R-MATCHED,41,78,Thalamus_R,3.9747847845887887
R-MATCHED,42,13,Frontal_Inf_Tri_L,3.932164559709853
R-MATCHED,43,6,Frontal_Sup_Orb_R,3.9263274169308313
R-MATCHED,44,115,Vermis_9,3.818329238436492
R-MATCHED,45,46,Cuneus_R,3.714140917185496
R-MATCHED,46,86,Temporal_Mid_R,3.521272433082419
R-MATCHED,47,29,Insula_L,3.4145379668641227
R-MATCHED,48,30,Insula_R,3.3235030440753706
R-MATCHED,49,98,Cerebelum_4_5_R,3.2703584368857297
R-MATCHED,50,22,Olfactory_R,3.250057812929409
R-MATCHED,51,10,Frontal_Mid_Orb_R,3.248344929338626
R-MATCHED,52,75,Pallidum_L,3.1630251451769027
R-MATCHED,53,95,Cerebelum_3_L,3.038212359603088
R-MATCHED,54,76,Pallidum_R,2.955723542856793
R-MATCHED,55,5,Frontal_Sup_Orb_L,2.803651999055712
R-MATCHED,56,90,Temporal_Inf_R,2.7986623330615656
R-MATCHED,57,96,Cerebelum_3_R,2.6932781033245963
R-MATCHED,58,73,Putamen_L,2.631152371128628
R-MATCHED,59,111,Vermis_4_5,2.6287005590484758
R-MATCHED,60,19,Supp_Motor_Area_L,2.617230761626433
R-MATCHED,61,21,Olfactory_L,2.609557220221318
R-MATCHED,62,27,Rectus_L,2.6051465721779845
R-MATCHED,63,74,Putamen_R,2.5940960415869587
R-MATCHED,64,71,Caudate_L,2.5271899297406843
R-MATCHED,65,109,Vermis_1_2,2.496523393309319
R-MATCHED,66,9,Frontal_Mid_Orb_L,2.4332057423668165
R-MATCHED,67,87,Temporal_Pole_Mid_L,2.4270088002980184
R-MATCHED,68,89,Temporal_Inf_L,2.416672533154182
R-MATCHED,69,116,Vermis_10,2.4098515991791007
R-MATCHED,70,26,Frontal_Med_Orb_R,2.3431136576960734
R-MATCHED,71,20,Supp_Motor_Area_R,2.339165343974657
R-MATCHED,72,105,Cerebelum_9_L,2.325571654811616
R-MATCHED,73,28,Rectus_R,2.3127888902650184
R-MATCHED,74,88,Temporal_Pole_Mid_R,2.310480559823308
R-MATCHED,75,72,Caudate_R,2.29710225432348
R-MATCHED,76,16,Frontal_Inf_Orb_R,2.225653063271804
R-MATCHED,77,45,Cuneus_L,2.0210499491469345
R-MATCHED,78,41,Amygdala_L,1.986728832934408
R-MATCHED,79,83,Temporal_Pole_Sup_L,1.9807601410568343
R-MATCHED,80,42,Amygdala_R,1.9587535588503195
R-MATCHED,81,40,ParaHippocampal_R,1.8670407859327385
R-MATCHED,82,36,Cingulum_Post_R,1.8338010646924796
R-MATCHED,83,79,Heschl_L,1.7837207666572517
R-MATCHED,84,33,Cingulum_Mid_L,1.776597757159
R-MATCHED,85,110,Vermis_3,1.765005802148548
R-MATCHED,86,34,Cingulum_Mid_R,1.68858273725728
R-MATCHED,87,44,Calcarine_R,1.655768009731689
R-MATCHED,88,97,Cerebelum_4_5_L,1.6551344331992832
R-MATCHED,89,24,Frontal_Sup_Medial_R,1.594347786796498
R-MATCHED,90,54,Occipital_Inf_R,1.5219545444154574
R-MATCHED,91,23,Frontal_Sup_Medial_L,1.5107103877616497
R-MATCHED,92,38,Hippocampus_R,1.49925071012757
R-MATCHED,93,37,Hippocampus_L,1.4649177760873089
R-MATCHED,94,51,Occipital_Mid_L,1.442243845706875
R-MATCHED,95,48,Lingual_R,1.3781989453271153
R-MATCHED,96,43,Calcarine_L,1.37526633335102
R-MATCHED,97,58,Postcentral_R,1.294535980672275
R-MATCHED,98,15,Frontal_Inf_Orb_L,1.2670928149029226
R-MATCHED,99,1,Precentral_L,1.2432928996494244
R-MATCHED,100,68,Precuneus_R,1.1691399264283944
R-MATCHED,101,39,ParaHippocampal_L,1.0644852732444443
R-MATCHED,102,69,Paracentral_Lobule_L,1.05015450635689
